group_level,region_id,admin_name,municipality_code,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
municipality,23,23. СОФИЯ 23 МИР,46,636,24,21,0.0330188679245283,448260,266582,0.5947039664480436,258986,84340,0.32565466859212466,9051,4262,0.4708871947851066,0.03494783501810909,1343.4900018039937,1536.1092481690257,22,0,2,0,3,10.674945273985896,0.2448155901266546,0.174522845575477,234623003; 234615002; 234623005; 234623024; 234615001; 234623007; 234616001; 234616009; 234615122; 234623010,"гр. София,Кв. Горубляне; гр.София; с.Долни Пасарел; с.Казичене; с.Кокаляне; с.Кривина; с.Лозен; с.Панчарево",mixed_machine_paper; paper_only,,42.637473618571434,23.413909004761905,23/46
municipality,24,24. СОФИЯ 24 МИР,46,502,26,16,0.03187250996015936,441044,183336,0.41568641677474355,177565,62245,0.35054768676259396,5413,2918,0.5390726029927951,0.03048461126911272,1049.5187122827579,1647.184293876774,25,0,4,1,4,9.623745405462325,0.3013364277979803,0.0954406574089258,244614074; 244622001; 244606072; 244614058; 244622002; 244622012; 244605044; 244622013; 244614072; 244622023,"гр. София,Кв. Ботунец; гр. София,Кв. Враждебна; гр.Бухово; гр.София",mixed_machine_paper; paper_only,signed_voters_ballots_found_mismatch,42.701486634999995,23.432180063125003,24/46
municipality,09,09. КЪРДЖАЛИ,14,80,10,9,0.1125,37588,10656,0.28349473236139194,10073,3461,0.3435917800059565,2007,1309,0.6522172396611858,0.1992455077931103,616.6547675709254,668.3970356121625,9,3,2,0,5,15.55028494703145,0.4424209441993353,0.465700104493208,091400012; 091400017; 091400034; 091400011; 091400016; 091400018; 091400001; 091400040; 091400002,с.Бенковски; с.Горно Кирково; с.Горно Къпиново; с.Долно Къпиново; с.Дрангово; с.Кирково; с.Хаджийско; с.Чакаларово,mixed_machine_paper; paper_only,,41.324553226666666,25.300095265555555,09/14
municipality,09,09. КЪРДЖАЛИ,16,170,11,9,0.052941176470588235,103809,32207,0.31025248292537255,30678,8759,0.2855140491557468,2204,1062,0.48185117967332125,0.07184301453810549,482.1537126160555,591.311969335371,7,2,4,0,4,11.189705288410725,0.319211574048113,0.4626786443153393,091600037; 091600013; 091600043; 091600018; 091600017; 091600038; 091600026; 091600056; 091600160,гр.Кърджали,mixed_machine_paper; paper_only,,41.63393846444445,25.372419301111112,09/16
municipality,25,25. СОФИЯ 25 МИР,46,516,9,9,0.01744186046511628,360656,188571,0.522855574286855,181655,76252,0.41976273705650824,2937,1672,0.5692883895131086,0.016168010789683742,460.21974372851435,460.21974372851435,7,0,2,0,3,8.326334585857436,0.2482742143223963,0.211517805502768,254621023; 254620015; 254620038; 254619062; 254621001; 254621024; 254621011; 254621031; 254624019,гр.Банкя; гр.Нови Искър; гр.София; с.Доброславци; с.Кътина; с.Локорско,mixed_machine_paper; paper_only,,42.77541863666667,23.30336887,25/46
municipality,16,16. ПЛОВДИВ град,22,482,8,7,0.014522821576763486,309183,158118,0.51140586642862,152802,70711,0.46276226750958754,2599,1555,0.5983070411696807,0.017008939673564483,340.10540366144,392.58361783756766,5,0,1,0,3,6.433267148056801,0.2002889414236932,0.1862269766639347,162202059; 162203039; 162203044; 162202056; 162206056; 162202055; 162205099,гр.Пловдив,mixed_machine_paper; paper_only,,42.135042704285716,24.746673924285716,16/22
municipality,03,03. ВАРНА,06,412,4,4,0.009708737864077669,304039,156493,0.5147135729297886,151966,67670,0.44529697432320386,2180,1221,0.560091743119266,0.014345314083413396,273.33357865475335,273.33357865475335,4,0,18,0,3,7.420994146715955,0.1512999317804136,0.0964930521297938,030603193; 030600387; 030605377; 030605364,гр.Варна; с.Константиново,mixed_machine_paper,,43.1866499625,27.8724762525,03/06
municipality,29,29. ХАСКОВО,34,154,5,4,0.025974025974025976,89608,42823,0.47789259887510044,41513,21147,0.5094066918796522,1638,1063,0.648962148962149,0.03945751933129381,246.4968944164652,297.7437633282381,5,0,2,0,3,7.081799386742237,0.1840825766605616,0.1743916419177127,293400051; 293400008; 293400076; 293400052,гр.Хасково,mixed_machine_paper,,41.93940438,25.555899895,29/34
municipality,01,01. БЛАГОЕВГРАД,33,90,3,3,0.03333333333333333,54166,23120,0.4268360225972012,22365,10517,0.47024368432819136,1039,686,0.6602502406159769,0.04645651687905209,206.94283609207707,206.94283609207707,2,1,0,0,4,9.785694367846126,0.3961467405647928,0.2087362098864937,013300056; 013300049; 013300047,с.Кулата; с.Марино поле; с.Михнево,mixed_machine_paper; paper_only,,41.41947819999999,23.301460766666665,01/33
municipality,09,09. КЪРДЖАЛИ,15,86,4,3,0.03488372093023256,35455,9842,0.2775913129318855,9447,2384,0.25235524505133905,731,382,0.5225718194254446,0.07737906213612787,203.02352950020932,291.2451868464218,3,1,1,0,3,12.287563680593346,0.3132844462279698,0.3304999137898131,091500003; 091500057; 091500004,гр.Крумовград; с.Аврен,mixed_machine_paper; paper_only,,41.43302593333333,25.6718946,09/15
municipality,08,08. ДОБРИЧ,27,33,6,3,0.09090909090909091,21157,5721,0.27040695750815336,5470,2200,0.40219378427787933,886,540,0.6094808126410836,0.1619744058500914,197.60833784608826,378.5496738678761,6,3,0,0,3,8.481248700170237,0.2314195047750131,0.2448534336115914,082700003; 082700006; 082700002,гр.Тервел,mixed_machine_paper,,43.74586486666667,27.4084964,08/27
municipality,02,02. БУРГАС,04,343,3,3,0.008746355685131196,185839,96394,0.5186962908754352,93690,46029,0.49129042587255844,740,557,0.7527027027027027,0.007898388301846516,195.7228362800971,195.7228362800971,3,0,1,0,2,9.29600407087942,0.3227775984461605,-0.0187201150327287,020400326; 020400327; 020400144,гр.Бургас; с.Равнец,mixed_machine_paper,,42.49393116666667,27.300613666666667,02/04
municipality,17,17. ПЛОВДИВ област,01,109,3,3,0.027522935779816515,57570,27254,0.4734062879972208,26357,12283,0.46602420609325795,814,562,0.6904176904176904,0.0308836362256706,186.17241704260513,186.17241704260513,3,1,0,0,5,9.274480619549616,0.286161875097623,0.4827894161992592,170100090; 170100077; 170100034,гр.Асеновград; с.Боянци; с.Конуш,mixed_machine_paper,,42.03730259,24.955164916666664,17/01
municipality,21,21. СЛИВЕН,11,30,3,3,0.1,19003,6393,0.3364205651739199,5971,2595,0.43460056941885783,803,507,0.6313823163138231,0.13448333612460225,160.81903088157077,160.81903088157077,3,0,0,0,2,6.7066935971536985,0.2079982446383916,0.1130361992424459,211100019; 211100003; 211100011,гр.Котел; с.Градец; с.Мокрен,mixed_machine_paper,,42.80771636666666,26.538720299999998,21/11
municipality,13,13. ПАЗАРДЖИК,19,151,3,3,0.019867549668874173,99573,42480,0.4266216745503299,41166,22394,0.5439926152650245,960,661,0.6885416666666667,0.023320215711995336,146.1244914537839,146.1244914537839,2,0,3,0,2,5.9590102760283585,0.1750012440823151,0.1387968743364335,131900155; 131900192; 131900200,с.Братаница; с.Добровница; с.Черногорово,mixed_machine_paper,,42.216604413333336,24.331413506666667,13/19
municipality,30,30. ШУМЕН,30,131,3,3,0.022900763358778626,85288,35917,0.42112606697307947,34657,18307,0.5282338344346019,1132,660,0.5830388692579506,0.03266295409296823,59.611489745563006,59.611489745563006,0,0,6,2,2,4.421126904852535,0.1043550206149352,0.5384144430077191,303000032; 303000063; 303000079,гр.Шумен,mixed_machine_paper,protocol_machine_arithmetic_mismatch; signed_voters_ballots_found_mismatch,43.26478430333333,26.930657103333335,30/30
municipality,18,18. РАЗГРАД,14,42,5,2,0.047619047619047616,26808,9694,0.36160847508206506,9274,2311,0.24919128747034722,772,365,0.4727979274611399,0.08324347638559414,175.3662449817026,363.88820331950393,5,0,0,0,3,11.137339928072786,0.2310855541873312,0.091274521342467,181400013; 181400008,гр.Исперих,mixed_machine_paper,,43.71145705,26.8319093,18/14
municipality,20,20. СИЛИСТРА,10,43,3,2,0.046511627906976744,29314,10525,0.3590434604625776,10126,3401,0.3358680624135888,673,379,0.563150074294205,0.06646257159786688,160.34407160078575,219.38338872442776,3,0,0,0,3,10.739916579898818,0.2664064790754578,0.0899133708951407,201000404; 201000403,гр.Дулово,mixed_machine_paper,,43.82379175,27.1413023,20/10
municipality,09,09. КЪРДЖАЛИ,02,58,3,2,0.034482758620689655,26691,7125,0.26694391367876813,6870,1423,0.20713245997088792,635,292,0.45984251968503936,0.09243085880640466,156.33523939068704,220.46526592671478,3,1,0,0,5,11.378674260277707,0.2546568141001747,0.3101363287250384,090200028; 090200020,с.Жълтуша; с.Падина,mixed_machine_paper,,41.521217449999995,25.059125950000002,09/02
municipality,17,17. ПЛОВДИВ област,25,34,3,2,0.058823529411764705,22064,9502,0.4306562726613488,9072,5173,0.5702160493827161,620,485,0.782258064516129,0.068342151675485,136.22683677536875,191.84708392365772,3,0,0,0,2,7.909280667897139,0.2470397341198374,-0.0264604290630819,172500027; 172500028,с.Чалъкови,mixed_machine_paper,,42.1609618,25.0127468,17/25
