group_level,region_id,admin_name,municipality_code,place_name,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
settlement,24,24. СОФИЯ 24 МИР,46,гр.София,465,15,9,0.01935483870967742,416549,172326,0.4136992286621742,167057,56904,0.3406262533147369,3399,1743,0.5127978817299206,0.02034634885099098,562.6459020537634,932.2423517920183,14,0,4,1,4,8.15871262161706,0.2262123841071209,0.0954406574089258,244614074; 244606072; 244614058; 244605044; 244614072; 244614060; 244614016; 244614027; 244605066,гр.София,mixed_machine_paper; paper_only,signed_voters_ballots_found_mismatch,42.673475556666666,23.38258253777778,24/46 гр.София
settlement,23,23. СОФИЯ 23 МИР,46,гр.София,577,12,9,0.01559792027729636,401351,239577,0.5969263811476737,232874,74248,0.31883336052972855,4264,1932,0.4530956848030019,0.018310330908559994,553.5427321709428,746.1619785359749,10,0,2,0,3,10.600733887142082,0.2380215854931611,0.174522845575477,234615002; 234615001; 234616001; 234616009; 234615084; 234615078; 234615115; 234616015; 234608048,гр.София,mixed_machine_paper; paper_only,,42.64967054555556,23.365815826666665,23/46 гр.София
settlement,09,09. КЪРДЖАЛИ,16,гр.Кърджали,80,11,9,0.1125,52430,17408,0.332023650581728,16633,6710,0.4034148980941502,2204,1062,0.48185117967332125,0.13250766548427825,482.1537126160555,591.311969335371,7,2,4,0,4,11.189705288410725,0.319211574048113,0.4626786443153393,091600037; 091600013; 091600043; 091600018; 091600017; 091600038; 091600026; 091600056; 091600160,гр.Кърджали,mixed_machine_paper; paper_only,,41.63393846444445,25.372419301111112,09/16 гр.Кърджали
settlement,16,16. ПЛОВДИВ град,22,гр.Пловдив,482,8,7,0.014522821576763486,309183,158118,0.51140586642862,152802,70711,0.46276226750958754,2599,1555,0.5983070411696807,0.017008939673564483,340.10540366144,392.58361783756766,5,0,1,0,3,6.433267148056801,0.2002889414236932,0.1862269766639347,162202059; 162203039; 162203044; 162202056; 162206056; 162202055; 162205099,гр.Пловдив,mixed_machine_paper; paper_only,,42.135042704285716,24.746673924285716,16/22 гр.Пловдив
settlement,23,23. СОФИЯ 23 МИР,46,с.Казичене,5,5,5,1.0,3723,1910,0.513027128659683,1841,962,0.5225420966865834,1841,962,0.5225420966865834,1.0,360.4425799050503,360.4425799050503,5,0,0,0,3,10.674945273985896,0.2448155901266546,-0.0494035945101775,234623003; 234623005; 234623007; 234623006; 234623004,с.Казичене,mixed_machine_paper,,42.65667109,23.46264482,23/46 с.Казичене
settlement,29,29. ХАСКОВО,34,гр.Хасково,116,5,4,0.034482758620689655,72052,34605,0.4802781324598901,33618,17703,0.5265928966625022,1638,1063,0.648962148962149,0.048723897911832945,246.4968944164652,297.7437633282381,5,0,1,0,3,7.081799386742237,0.1840825766605616,0.1743916419177127,293400051; 293400008; 293400076; 293400052,гр.Хасково,mixed_machine_paper,,41.93940438,25.555899895,29/34 гр.Хасково
settlement,08,08. ДОБРИЧ,27,гр.Тервел,8,6,3,0.375,6572,2101,0.3196895922093731,2043,1130,0.5531081742535487,886,540,0.6094808126410836,0.4336759667156143,197.60833784608826,378.5496738678761,6,3,0,0,3,8.481248700170237,0.2314195047750131,0.2448534336115914,082700003; 082700006; 082700002,гр.Тервел,mixed_machine_paper,,43.74586486666667,27.4084964,08/27 гр.Тервел
settlement,24,24. СОФИЯ 24 МИР,46,"гр. София,Кв. Ботунец",6,3,3,0.5,5142,1391,0.2705173084402956,1313,784,0.597105864432597,727,440,0.6052269601100413,0.5536938309215537,195.7519787987576,195.7519787987576,3,0,0,0,2,9.623745405462325,0.3013364277979803,-0.2301493947427397,244622012; 244622013; 244622011,"гр. София,Кв. Ботунец",mixed_machine_paper,,42.74073245,23.509626390000005,"24/46 гр. София,Кв. Ботунец"
settlement,03,03. ВАРНА,06,гр.Варна,402,3,3,0.007462686567164179,296983,153254,0.5160362714364122,148852,66083,0.4439510386155376,1589,875,0.5506607929515418,0.010675032918603713,183.91531897252895,183.91531897252895,3,0,18,0,3,5.6715142187699845,0.1335345136911035,0.0964930521297938,030603193; 030605377; 030605364,гр.Варна,mixed_machine_paper,,43.19462805,27.904250736666665,03/06 гр.Варна
settlement,25,25. СОФИЯ 25 МИР,46,гр.София,441,3,3,0.006802721088435374,311796,162251,0.5203755019307496,156401,64839,0.4145689605565182,1109,633,0.5707844905320109,0.00709074750161444,169.1292457229292,169.1292457229292,3,0,2,0,3,6.749131867853617,0.1939357341671128,0.0962091196607931,254620015; 254620038; 254619062,гр.София,mixed_machine_paper,,42.732417733333335,23.269543466666665,25/46 гр.София
