geo_cluster_id,eps_km,min_points,strong_matched_lead_stations,center_latitude,center_longitude,max_distance_from_center_km,region_ids,municipality_codes,places,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,max_matched_control_score,section_ids
6,5.0,3,25,42.64635002200001,23.405545011999994,7.769160472085427,23; 24,46,"гр. София,Кв. Горубляне; гр.София; с.Казичене; с.Кокаляне; с.Кривина; с.Панчарево",10702,5091,0.47570547561203513,1587.8004259273184,23,0,1,4,244614074; 234623003; 234615002; 234623005; 234615001; 234623007; 234616001; 244614058; 234616009; 234615122; 244614072; 234623006; 234623001; 234615084; 234623004; 234615078; 234623021; 244614060; 234623019; 244614016
3,5.0,3,9,41.63393846444444,25.37241930111111,2.78585441672373,09,16,гр.Кърджали,2204,1062,0.48185117967332125,482.15371261605543,5,2,0,4,091600037; 091600013; 091600043; 091600018; 091600017; 091600038; 091600026; 091600056; 091600160
7,5.0,3,8,42.720991075,23.332336062499998,7.438657953334564,24; 25,46,"гр. София,Кв. Враждебна; гр.София",2875,1611,0.5603478260869565,520.411815863731,7,0,0,3,254620015; 254620038; 254619062; 244622001; 244606072; 244622002; 244605044; 244605066
4,5.0,3,7,42.13504270428571,24.746673924285716,5.321568089201526,16,22,гр.Пловдив,2599,1555,0.5983070411696807,340.10540366144005,4,0,0,3,162202059; 162203039; 162203044; 162202056; 162206056; 162202055; 162205099
2,5.0,3,6,41.30149686833333,25.30999241166667,5.536666383185479,09,14,с.Горно Кирково; с.Горно Къпиново; с.Долно Къпиново; с.Кирково; с.Чакаларово,1336,866,0.6482035928143712,397.2279420175889,5,3,0,5,091400012; 091400017; 091400011; 091400016; 091400001; 091400002
8,5.0,3,5,42.74796751000001,23.528428394000002,2.599778220349891,24,46,"гр. София,Кв. Ботунец; гр.Бухово",1188,716,0.6026936026936027,320.2709124867993,5,0,0,2,244622012; 244622013; 244622023; 244622022; 244622011
9,5.0,3,4,41.93940438,25.555899895,1.7100514178321822,29,34,гр.Хасково,1638,1063,0.648962148962149,246.4968944164652,4,0,0,3,293400051; 293400008; 293400076; 293400052
5,5.0,3,3,42.149307033333336,25.000596,3.2761481978505103,17,25; 28,с.Чалъкови; с.Чешнегирово,974,744,0.7638603696098563,207.94011149121692,3,0,0,2,172500027; 172800004; 172500028
1,5.0,3,3,43.745864866666665,27.4084964,0.5844978224907453,08,27,гр.Тервел,886,540,0.6094808126410836,197.6083378460883,3,3,0,3,082700003; 082700006; 082700002
10,5.0,3,3,43.26478430333333,26.930657103333335,2.450863669645917,30,30,гр.Шумен,1132,660,0.5830388692579506,59.611489745563006,0,0,2,2,303000032; 303000063; 303000079
