party_id,party_name,valid_votes,national_vote_share,stations_with_votes,station_count,median_station_share,median_positive_station_share,max_station_share,paper_votes,machine_votes,paper_vote_share,weighted_corr_turnout_share,pearson_corr_turnout_share,spearman_corr_turnout_share,domestic_weighted_corr_turnout_share,abroad_weighted_corr_turnout_share,high_turnout_high_share_stations,valid_votes_in_high_turnout_high_share_stations,vote_rank,weighted_corr_rank_desc
21,ПРОГРЕСИВНА БЪЛГАРИЯ,1444920,0.4459414917059549,12699,12721,0.45936395759717313,0.45955882352941174,0.9758064516129032,726929,717991,0.5030929047974975,-0.12496387278862882,-0.09776810314719289,-0.15178166823844186,-0.08063844132053806,0.2587364688197635,10,1289,1,24.0
15,ГЕРБ-СДС,433755,0.13386855447700666,12589,12721,0.12540192926045016,0.12605042016806722,0.98,300825,132930,0.6935366739288308,-0.011178150473533533,0.16516815272360483,0.18017242884029316,0.21136953311806994,0.26496546998804577,8,538,2,16.0
7,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,408846,0.12618096165740167,12340,12721,0.0737913486005089,0.07613334972687194,0.9245283018867925,97850,310996,0.2393321690807786,0.3601361814744698,0.214961083952015,0.2417095897546555,0.28803013788879767,0.24412314459692064,2,152,3,1.0
17,Движение за права и свободи - ДПС,230693,0.07119811515248031,11434,12721,0.01694915254237288,0.02127659574468085,0.9921875,199806,30887,0.8661121056989158,-0.20008281619422505,-0.1991429363270486,-0.2908464447639163,-0.2663762872295255,-0.40849003603645473,53,6739,4,25.0
8,ВЪЗРАЖДАНЕ,137940,0.042572024309940636,12110,12721,0.04,0.041303358859655775,0.6571428571428571,67364,70576,0.48835725677830943,0.19265991077391095,0.1931082989924654,0.19080949545863282,0.16222497899295166,0.231944199353445,0,0,5,3.0
4,ПП МЕЧ,104506,0.03225338533082975,11610,12721,0.029411764705882353,0.031381341774377916,0.3333333333333333,46788,57718,0.44770635178841406,-0.010071101659438132,-0.06910681135135081,-0.04704927897590222,-0.08781211071461623,0.35914606358506473,0,0,6,15.0
14,ПП ВЕЛИЧИЕ,100572,0.031039246258513477,11857,12721,0.02734375,0.028985507246376812,0.34210526315789475,58054,42518,0.5772381975102414,0.2281186202507161,0.17618797007953083,0.10269262393077397,0.018166387162998527,0.29293380217424503,0,0,7,2.0
5,БСП – ОБЕДИНЕНА ЛЕВИЦА,97753,0.030169226419962496,12136,12721,0.026755852842809364,0.027888446215139442,0.8536585365853658,58483,39270,0.5982731987765081,-0.013795747673062079,0.15408303863178754,0.15943579166404137,0.12752366809973129,0.14896747289422355,1,70,8,17.0
20,СИЯНИЕ,93559,0.028874844297620238,10084,12721,0.02197802197802198,0.028409090909090908,0.20118343195266272,36379,57180,0.38883485287358777,0.12410180998918002,0.08170721209352155,0.11865558176445289,0.24680201864104684,0.3578481901299183,0,0,9,6.0
11,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,50759,0.01566560375488094,7343,12721,0.0029940119760479044,0.009174311926605505,0.8300653594771242,41607,9152,0.8196969995468784,-0.08954472629992417,-0.13166169393632515,-0.25742498310531503,-0.17465262366681483,-0.490426582013751,0,0,10,23.0
