section_id,region_id,admin_name,municipality_code,place_name,address,latitude,longitude,voting_mode,registered_voters,voters_signed,turnout,total_valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,top_party_name,top_party_share,winner_margin,turnout_2024,top_party_name_2024,top_party_share_2024,ppdb_share_2024,ppdb_plus_gerb_share_2024,turnout_delta_2026_minus_2024,pb_share_2026_minus_2024_top_party_share,historical_swing_lead,control_group_level,control_count,control_weighted_pb_share,pb_share_minus_control,turnout_minus_control,pb_votes_minus_control_expectation,pb_control_z,matched_positive_residual,matched_relative_high_turnout_high_share,regional_lead_score,matched_control_score,geo_cluster_id,is_geo_clustered,validation_issue_count,validation_issue_types,validation_issue_details,voting_method_lead_flag,score_matched_control,score_regional,score_positive_residual,score_relative_high_turnout_high_share,score_geo_cluster,score_validation,score_method,score_historical,score_high_impact,score_extreme_absolute,anomaly_score,anomaly_category,anomaly_category_label,evidence_summary,cik_search_url,candidate_protocol_html_url,candidate_protocol_pdf_search_url
091400017,09,09. КЪРДЖАЛИ,14,с.Горно Къпиново,"С.ГОРНО КЪПИНОВО, сградата на читалището",41.2739388,25.256515,paper_only,120,117,0.975,115,90,0.782608695652174,ПРОГРЕСИВНА БЪЛГАРИЯ,0.782608695652174,0.6869565217391305,0.3832599118942731,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,0.5529411764705883,0.0470588235294117,0.188235294117647,0.5917400881057269,0.2296675191815856,1.0,domestic_same_municipality_voting_mode,30,0.3401877514528386,0.4424209441993353,0.465700104493208,50.878408582923555,10.014172668695348,1,1,5,5,2.0,1.0,0,,,1,3,1,1,1,1,0,1,1,0,1,10,3,statistical lead with corroborating flag,matched-control score 5; +50.9 PB votes vs matched expectation; high turnout and high PB share vs controls; regional score 5; geo cluster 2; paper-only method lead; large 2026 swing vs exact 2024 section,https://results.cik.bg/pe202604/search/index.html#/s/64/091400017,https://results.cik.bg/pe202604/protokoli/64/09/091400017.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091400017.0.pdf
091400012,09,09. КЪРДЖАЛИ,14,с.Чакаларово,"С.ЧАКАЛАРОВО, основно училище  Иван Вазов ",41.2965165,25.3049479,mixed_machine_paper,632,353,0.5585443037974683,338,249,0.7366863905325444,ПРОГРЕСИВНА БЪЛГАРИЯ,0.7366863905325444,0.6568047337278107,0.4840667678300455,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,0.5622895622895623,0.0538720538720538,0.265993265993266,0.0744775359674227,0.174396828242982,0.0,domestic_same_municipality_voting_mode,30,0.3369056897895557,0.3997807007429886,0.2989792827082197,135.12587685113016,15.55028494703145,1,1,3,5,2.0,1.0,0,,,1,3,1,1,1,1,0,0,0,1,0,8,3,statistical lead with corroborating flag,matched-control score 5; +135.1 PB votes vs matched expectation; high turnout and high PB share vs controls; regional score 3; geo cluster 2,https://results.cik.bg/pe202604/search/index.html#/s/64/091400012,https://results.cik.bg/pe202604/protokoli/64/09/091400012.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091400012.0.pdf
234615002,23,23. СОФИЯ 23 МИР,46,гр.София,"ГР.СОФИЯ, жк Младост 1, 118 СОУ, до блок 13",42.659888,23.3765418,mixed_machine_paper,678,431,0.6356932153392331,422,230,0.5450236966824644,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5450236966824644,0.3744075829383886,0.4275256222547584,ВЪЗРАЖДАНЕ,0.2527472527472527,0.1904761904761904,0.3406593406593406,0.2081675930844746,0.2922764439352117,1.0,domestic_same_municipality_voting_mode,30,0.3070021111893033,0.2380215854931611,0.03979277610058,100.445109078114,10.600733887142082,1,0,2,3,6.0,1.0,0,,,1,2,1,1,0,1,0,0,1,1,0,7,3,statistical lead with corroborating flag,matched-control score 3; +100.4 PB votes vs matched expectation; regional score 2; geo cluster 6; large 2026 swing vs exact 2024 section,https://results.cik.bg/pe202604/search/index.html#/s/64/234615002,https://results.cik.bg/pe202604/protokoli/64/23/234615002.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/234615002.0.pdf
244614074,24,24. СОФИЯ 24 МИР,46,гр.София,"ГР.СОФИЯ, 150 ОУ  Цар Симеон I  жк Дружба 2, ул.  Делийска воденица  №11",42.64597095,23.40999842,mixed_machine_paper,586,382,0.6518771331058021,375,187,0.4986666666666666,ПРОГРЕСИВНА БЪЛГАРИЯ,0.4986666666666666,0.3066666666666666,0.5218120805369127,ВЪЗРАЖДАНЕ,0.2542372881355932,0.247457627118644,0.3728813559322034,0.1300650525688893,0.2444293785310733,0.0,domestic_same_municipality_voting_mode,30,0.3215258855585831,0.1771407811080835,0.0954406574089258,66.42779291553134,7.344455035104136,1,0,2,4,6.0,1.0,1,signed_voters_ballots_found_mismatch,"voters_signed=382, ballots_found=383",1,3,1,1,0,1,1,0,0,0,0,7,3,statistical lead with corroborating flag,matched-control score 4; +66.4 PB votes vs matched expectation; regional score 2; geo cluster 6; validation issue: signed_voters_ballots_found_mismatch,https://results.cik.bg/pe202604/search/index.html#/s/64/244614074,https://results.cik.bg/pe202604/protokoli/64/24/244614074.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/244614074.0.pdf
320920361,32,32. Извън страната,09,"Обединено кралство, Мейдстоун","ОБЕДИНЕНО КРАЛСТВО ВЕЛИКОБРИТАНИЯ И СЕВЕРНА ИРЛАНДИЯ, Мейдстоун",51.2554876,0.5433909,mixed_machine_paper,1808,1641,0.9076327433628318,1567,925,0.5902999361837907,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5902999361837907,0.5015954052329292,0.9923076923076924,ВЪЗРАЖДАНЕ,0.3478260869565217,0.1652173913043478,0.208695652173913,-0.0846749489448605,0.242473849227269,0.0,abroad_same_country_voting_mode,19,0.4593938261803577,0.130906110003433,0.0123946481247365,205.12987437537947,10.398275937818717,1,0,2,3,0.0,0.0,1,protocol_machine_arithmetic_mismatch,"machine_ballots_found=624, expected=621",1,2,1,1,0,0,1,0,0,1,0,6,3,statistical lead with corroborating flag,matched-control score 3; +205.1 PB votes vs matched expectation; regional score 2; validation issue: protocol_machine_arithmetic_mismatch,https://results.cik.bg/pe202604/search/index.html#/s/64/320920361,https://results.cik.bg/pe202604/protokoli/64/32/320920361.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/320920361.0.pdf
234623003,23,23. СОФИЯ 23 МИР,46,с.Казичене,"С.КАЗИЧЕНЕ, 71 СОУ  П. Яворов , ул. Яворов №10",42.65667109,23.46264482,mixed_machine_paper,836,428,0.5119617224880383,414,234,0.5652173913043478,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5652173913043478,0.4710144927536231,0.3246753246753247,ГЕРБ-СДС,0.32421875,0.125,0.44921875,0.1872863978127136,0.2409986413043477,0.0,domestic_same_municipality_voting_mode,30,0.3204018011776931,0.2448155901266546,-0.0912525990444058,101.35365431243504,10.674945273985896,1,0,2,3,6.0,1.0,0,,,1,2,1,1,0,1,0,0,0,1,0,6,3,statistical lead with corroborating flag,matched-control score 3; +101.4 PB votes vs matched expectation; regional score 2; geo cluster 6,https://results.cik.bg/pe202604/search/index.html#/s/64/234623003,https://results.cik.bg/pe202604/protokoli/64/23/234623003.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/234623003.0.pdf
091400011,09,09. КЪРДЖАЛИ,14,с.Чакаларово,"С.ЧАКАЛАРОВО, основно училище  Иван Вазов ",41.2965165,25.3049479,mixed_machine_paper,440,216,0.4909090909090909,207,144,0.6956521739130435,ПРОГРЕСИВНА БЪЛГАРИЯ,0.6956521739130435,0.5603864734299517,0.4436936936936937,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,0.5291005291005291,0.0211640211640211,0.2645502645502645,0.0472153972153971,0.1665516448125144,0.0,domestic_same_municipality_voting_mode,30,0.3586793396698349,0.3369728342432085,0.2416625568524303,69.75337668834418,10.10855939355037,1,1,2,3,2.0,1.0,0,,,1,2,1,1,1,1,0,0,0,0,0,6,3,statistical lead with corroborating flag,matched-control score 3; +69.8 PB votes vs matched expectation; high turnout and high PB share vs controls; regional score 2; geo cluster 2,https://results.cik.bg/pe202604/search/index.html#/s/64/091400011,https://results.cik.bg/pe202604/protokoli/64/09/091400011.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091400011.0.pdf
091600037,09,09. КЪРДЖАЛИ,16,гр.Кърджали,"ГР.КЪРДЖАЛИ, ПГТ  Проф. Д-р Асен Златаров ",41.62429831,25.36880493,mixed_machine_paper,446,214,0.4798206278026906,204,108,0.5294117647058824,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5294117647058824,0.3774509803921568,0.3693693693693693,ГЕРБ-СДС,0.3178807947019867,0.0794701986754966,0.3973509933774834,0.1104512584333212,0.2115309700038956,0.0,domestic_same_municipality_voting_mode,30,0.2102001906577693,0.319211574048113,0.1675306442465313,65.11916110581507,11.189705288410725,1,0,2,4,3.0,1.0,0,,,1,3,1,1,0,1,0,0,0,0,0,6,3,statistical lead with corroborating flag,matched-control score 4; +65.1 PB votes vs matched expectation; regional score 2; geo cluster 3,https://results.cik.bg/pe202604/search/index.html#/s/64/091600037,https://results.cik.bg/pe202604/protokoli/64/09/091600037.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091600037.0.pdf
091400016,09,09. КЪРДЖАЛИ,14,с.Долно Къпиново,"С.ДОЛНО КЪПИНОВО, сградата на кметството",41.2926822,25.2807496,paper_only,240,130,0.5416666666666666,125,97,0.776,ПРОГРЕСИВНА БЪЛГАРИЯ,0.776,0.712,0.4583333333333333,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,0.4857142857142857,0.0380952380952381,0.219047619047619,0.0833333333333333,0.2902857142857143,0.0,domestic_same_municipality_voting_mode,30,0.3385720700493938,0.4374279299506062,0.0323667711598746,54.678491243825775,10.334624146074438,1,0,3,3,2.0,1.0,0,,,1,2,1,1,0,1,0,1,0,0,0,6,3,statistical lead with corroborating flag,matched-control score 3; +54.7 PB votes vs matched expectation; regional score 3; geo cluster 2; paper-only method lead,https://results.cik.bg/pe202604/search/index.html#/s/64/091400016,https://results.cik.bg/pe202604/protokoli/64/09/091400016.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091400016.0.pdf
244605066,24,24. СОФИЯ 24 МИР,46,гр.София,"ГР.СОФИЯ, Централен софийски затвор - бул.  Ген Столетов  №21",42.7091393,23.3037303,paper_only,153,144,0.9411764705882352,133,80,0.6015037593984962,ПРОГРЕСИВНА БЪЛГАРИЯ,0.6015037593984962,0.4812030075187969,0.7171717171717171,ГЕРБ-СДС,0.2857142857142857,0.0408163265306122,0.3265306122448979,0.224004753416518,0.3157894736842105,1.0,domestic_same_municipality_voting_mode,13,0.3752913752913753,0.2262123841071209,0.0397680198840098,30.086247086247084,5.387895384528578,0,0,2,2,7.0,1.0,0,,,1,2,1,0,0,1,0,1,1,0,0,6,3,statistical lead with corroborating flag,matched-control score 2; regional score 2; geo cluster 7; paper-only method lead; large 2026 swing vs exact 2024 section,https://results.cik.bg/pe202604/search/index.html#/s/64/244605066,https://results.cik.bg/pe202604/protokoli/64/24/244605066.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/244605066.0.pdf
