contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,27,27. СТАРА ЗАГОРА,22,15,2,3837,157,0.42571458486022407,0.6072727272727273,0.18155814241250323,0.39171227521501173,0.554140127388535,0.1624278521735233,0.06666666666666667,0.0,-0.06666666666666667,1,0,28.313326521460514,0,0
municipality,01,01. БЛАГОЕВГРАД,49,7,10,1553,678,0.5841549295774648,0.5446906035141329,-0.039464326063331945,0.36381197681905986,0.5,0.13618802318094014,0.0,0.0,0.0,0,0,10.334743671296733,0,0
municipality,15,15. ПЛЕВЕН,23,10,1,2071,32,0.3865979381443299,1.0,0.6134020618556701,0.6170931916948335,0.75,0.13290680830516655,0.1,0.0,-0.1,1,0,4.259786499414348,0,0
municipality,28,28. ТЪРГОВИЩЕ,23,10,2,2545,190,0.503017729158808,0.5722713864306784,0.06925365727187038,0.21925343811394893,0.3263157894736842,0.1070623513597353,0.0,0.0,0.0,0,0,20.995944254560918,0,0
municipality,23,23. СОФИЯ 23 МИР,46,606,30,255413,3573,0.5941735367138639,0.6337887370876375,0.03961520037377364,0.32449013949955563,0.40890008396305627,0.08440994446350064,0.033003300330033,0.03333333333333333,0.00033003300330033264,20,1,-253.87421003965153,2,0
municipality,02,02. БУРГАС,21,16,5,5359,469,0.536073500967118,0.6512549537648613,0.11518145279774328,0.5321888412017167,0.6162046908315565,0.08401584962983977,0.0625,0.0,-0.0625,1,0,36.64721755085826,0,0
municipality,26,26. СОФИЯ област,55,12,2,3190,32,0.529553485383874,0.9696969696969697,0.4401434843130957,0.5134796238244514,0.59375,0.08027037617554855,0.0,0.0,0.0,0,0,1.194832160049172,0,0
municipality,15,15. ПЛЕВЕН,27,8,2,1881,117,0.4505847282733318,0.6797752808988764,0.2291905526255446,0.5470494417862839,0.6239316239316239,0.07688218214534004,0.125,0.0,-0.125,1,0,7.50528114010265,0,0
municipality,30,30. ШУМЕН,21,11,3,2768,126,0.4156660949113779,0.6770833333333334,0.26141723842195547,0.24855491329479767,0.3253968253968254,0.07684191210202773,0.09090909090909091,0.0,-0.09090909090909091,1,0,14.81227404800895,0,0
municipality,11,11. ЛОВЕЧ,17,6,2,1160,188,0.33469721767594107,0.5103092783505154,0.17561206067457436,0.38620689655172413,0.4627659574468085,0.07655906089508435,0.0,0.0,0.0,0,0,11.229807124572519,0,0
